reviewId,productType,reviewer,reviewTimestamp,reviewScore,reviewMaxScore,reviewContentText,reviewOriginalText,translationStatus,reviewMedia,reviewReply,reviewAdditionalInformation,subRatingInformations,reactionSummary,reviewOrigin,reviewOriginLabel,reviewIconUrl
1823218049759584026,HOTEL,"{'reviewerId': None, 'reviewerName': 'S***i', 'reviewerPhotoUrl': None, 'reviewerAppLink': None, 'reviewerWebLink': None, 'reviewerStatus': 'ANONYMOUS', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1738756227264,10.0,10.0,"Recommend sangat nyaman bersih tenang, cocok untuk trip solo or family","Recommend sangat nyaman bersih tenang, cocok untuk trip solo or family",ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak S***i, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak S***i, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '2', 'day': '11', 'year': '2025'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}",,[],"{'reactionCount': '0', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1823006212249098581,HOTEL,"{'reviewerId': '16725490', 'reviewerName': 'eko a. p.', 'reviewerPhotoUrl': None, 'reviewerAppLink': 'traveloka://user_profile/16725490', 'reviewerWebLink': '/user/profile/public/eko-sb34zw', 'reviewerStatus': 'ACTIVE', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1738554203271,10.0,10.0,shower kencang gak ada obat mantap,shower kencang gak ada obat mantap,ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak Eko A P, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak Eko A P, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '2', 'day': '11', 'year': '2025'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}","{'topSection': {'additionalInformationLabel': 'Staycation', 'additionalInformationIcon': 'https://ik.imagekit.io/tvlk/image/imageResource/2024/10/08/1728378081573-fb82360f6ef37bfb8cac8350209a05ec.png?tr=q-75'}, 'bottomSection': None}",[],"{'reactionCount': '0', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1822500462734093260,HOTEL,"{'reviewerId': '312761532', 'reviewerName': 'Lesty D.', 'reviewerPhotoUrl': None, 'reviewerAppLink': 'traveloka://user_profile/312761532', 'reviewerWebLink': '/user/profile/public/Lesty-p7tnuy', 'reviewerStatus': 'ACTIVE', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1738071882948,10.0,10.0,Hotel nya bersi bagus pelayanan mengenang kan,Hotel nya bersi bagus pelayanan mengenang kan,ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak Lesty D, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak Lesty D, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '2', 'day': '2', 'year': '2025'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}",,[],"{'reactionCount': '0', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1822313649281175214,HOTEL,"{'reviewerId': None, 'reviewerName': 'A***i', 'reviewerPhotoUrl': None, 'reviewerAppLink': None, 'reviewerWebLink': None, 'reviewerStatus': 'ANONYMOUS', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1737893723756,8.5,10.0,"Thanks banget, karena perjalanan bisnis nya jadi menyenangkan. Dekat dengan kantor yang akan saya tuju. Terima kasih","Thanks banget, karena perjalanan bisnis nya jadi menyenangkan. Dekat dengan kantor yang akan saya tuju. Terima kasih",ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak A***i, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak A***i, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '2', 'day': '2', 'year': '2025'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}","{'topSection': {'additionalInformationLabel': 'Perjalanan Bisnis', 'additionalInformationIcon': 'https://ik.imagekit.io/tvlk/image/imageResource/2024/10/08/1728378081573-fb82360f6ef37bfb8cac8350209a05ec.png?tr=q-75'}, 'bottomSection': None}",[],"{'reactionCount': '0', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1821380269092901996,HOTEL,"{'reviewerId': None, 'reviewerName': 'J***h', 'reviewerPhotoUrl': None, 'reviewerAppLink': None, 'reviewerWebLink': None, 'reviewerStatus': 'ANONYMOUS', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1737003583043,6.6,10.0,Kamar mandi nya sedikit bau. Bantal guling nya sudah ga empuk. Tv nya belom ada netflix,Kamar mandi nya sedikit bau. Bantal guling nya sudah ga empuk. Tv nya belom ada netflix,ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak J***h, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami, terima kasih juga untuk masukannya terkait dengan kamar kami, hal tersebut sudah kami teruskan ke department terkait. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak J***h, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami, terima kasih juga untuk masukannya terkait dengan kamar kami, hal tersebut sudah kami teruskan ke department terkait. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '1', 'day': '23', 'year': '2025'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}",,[],"{'reactionCount': '0', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1815989574919272840,HOTEL,"{'reviewerId': '3114416', 'reviewerName': 'istidewina s.', 'reviewerPhotoUrl': None, 'reviewerAppLink': 'traveloka://user_profile/3114416', 'reviewerWebLink': '/user/profile/public/istidewina-zv4gaq', 'reviewerStatus': 'ACTIVE', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1731862616462,8.8,10.0,"Sudah beberapa kali bolak balik setiap Minggu kesini. Untuk harga kamar only nya bersahabat. AC di kamar dingin, tv menyala dengan baik. Perlengkapan di kamar & kamar mandi juga lengkap. Kemarin dapat kamar 212, linen bed & towel nya putih bersih. Terima kasih ya untuk kakak HK yang make up kamar nya. Sayangnya kamar nya sangat dekat dengan lift & jendela diberi stiker. Jadi kamar nya seperti void kamar. Ga ada yang bisa dilihat keluar. Tapi jendela bisa dibuka kalau mau ganti sirkulasi udara. Kebetulan Minggu ada acara wedding. Yang mana lobi tu kecil, dan rame orang-orang semrawut. Harusnya kalau ada event, ada petugas stand by di dekat tangga atau lift arahkan tamu selesai acara lewat pintu samping resto biar ga bikin lobi riweh. Mau check out, petugas FO nya siang malah di dalam ruangan. Dipanggil dulu baru keluar. Ga stand by padahal rame semrawut.","Sudah beberapa kali bolak balik setiap Minggu kesini. Untuk harga kamar only nya bersahabat. AC di kamar dingin, tv menyala dengan baik. Perlengkapan di kamar & kamar mandi juga lengkap. Kemarin dapat kamar 212, linen bed & towel nya putih bersih. Terima kasih ya untuk kakak HK yang make up kamar nya. Sayangnya kamar nya sangat dekat dengan lift & jendela diberi stiker. Jadi kamar nya seperti void kamar. Ga ada yang bisa dilihat keluar. Tapi jendela bisa dibuka kalau mau ganti sirkulasi udara. Kebetulan Minggu ada acara wedding. Yang mana lobi tu kecil, dan rame orang-orang semrawut. Harusnya kalau ada event, ada petugas stand by di dekat tangga atau lift arahkan tamu selesai acara lewat pintu samping resto biar ga bikin lobi riweh. Mau check out, petugas FO nya siang malah di dalam ruangan. Dipanggil dulu baru keluar. Ga stand by padahal rame semrawut.",ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak Istidewina s, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak Istidewina s, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '11', 'day': '23', 'year': '2024'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}",,[],"{'reactionCount': '4', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1815501435790427463,HOTEL,"{'reviewerId': None, 'reviewerName': 'S***a', 'reviewerPhotoUrl': None, 'reviewerAppLink': None, 'reviewerWebLink': None, 'reviewerStatus': 'ANONYMOUS', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1731397090712,8.8,10.0,Oke juga hotel nya dengan budget minim. Sip,Oke juga hotel nya dengan budget minim. Sip,ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak S***a, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak S***a, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '11', 'day': '15', 'year': '2024'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}",,[],"{'reactionCount': '1', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1815378545152627710,HOTEL,"{'reviewerId': '3114416', 'reviewerName': 'istidewina s.', 'reviewerPhotoUrl': None, 'reviewerAppLink': 'traveloka://user_profile/3114416', 'reviewerWebLink': '/user/profile/public/istidewina-zv4gaq', 'reviewerStatus': 'ACTIVE', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1731279893067,8.2,10.0,"entah mengapa malam minggu & minggu pagi petugas reception dan di restoran ga ada yg kelihatan stand by. mungkin karena ga ada HOD nya. mau minta tolong antarkan barang dr gojek ke kamar pas ditelpon susah dihubungi. terpaksa  turun tp ga ada staff. kita mau ambil barang yg dititip di atas meja reception, pas dipanggil2 jg ga ada yg nyaut. ada petugas diluar tapi berdiri diri aja. kelihatan dak peduli. terus anak suka main area Playground cuman area ny kemarin agak kotor. kita minta late check out sama reception nya jam 1 ga bisa. bisa nya setengah 1. dah konfirmasi request late co sebelum nya, setengah 12 masih juga ditelpon2 ke kamar. duuh","entah mengapa malam minggu & minggu pagi petugas reception dan di restoran ga ada yg kelihatan stand by. mungkin karena ga ada HOD nya. mau minta tolong antarkan barang dr gojek ke kamar pas ditelpon susah dihubungi. terpaksa  turun tp ga ada staff. kita mau ambil barang yg dititip di atas meja reception, pas dipanggil2 jg ga ada yg nyaut. ada petugas diluar tapi berdiri diri aja. kelihatan dak peduli. terus anak suka main area Playground cuman area ny kemarin agak kotor. kita minta late check out sama reception nya jam 1 ga bisa. bisa nya setengah 1. dah konfirmasi request late co sebelum nya, setengah 12 masih juga ditelpon2 ke kamar. duuh",ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak Istidewina s, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami, fyi aja Kak, untuk pengantaran dari Gojek maupun OJOL lainnya, memang ketentuan dari kami tamu wajib mengambilnya di Reception. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak Istidewina s, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami, fyi aja Kak, untuk pengantaran dari Gojek maupun OJOL lainnya, memang ketentuan dari kami tamu wajib mengambilnya di Reception. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '11', 'day': '23', 'year': '2024'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}","{'topSection': {'additionalInformationLabel': 'Transit', 'additionalInformationIcon': 'https://ik.imagekit.io/tvlk/image/imageResource/2024/10/08/1728378081573-fb82360f6ef37bfb8cac8350209a05ec.png?tr=q-75'}, 'bottomSection': None}",[],"{'reactionCount': '1', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1814367064210558375,HOTEL,"{'reviewerId': None, 'reviewerName': 'O***a', 'reviewerPhotoUrl': None, 'reviewerAppLink': None, 'reviewerWebLink': None, 'reviewerStatus': 'ANONYMOUS', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1730315269671,10.0,10.0,Staff hotel sangat sangat ramah dan pelayanannya the best suasana kamarnya nyaman sekali.,Staff hotel sangat sangat ramah dan pelayanannya the best suasana kamarnya nyaman sekali.,ORIGINAL,[],"{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak O***a, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management.', 'reviewReplyOriginalText': 'Hai Kak O***a, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management.', 'reviewReplySubmissionTime': {'month': '11', 'day': '7', 'year': '2024'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}","{'topSection': {'additionalInformationLabel': 'Staycation', 'additionalInformationIcon': 'https://ik.imagekit.io/tvlk/image/imageResource/2024/10/08/1728378081573-fb82360f6ef37bfb8cac8350209a05ec.png?tr=q-75'}, 'bottomSection': None}",[],"{'reactionCount': '1', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
1813395302745383435,HOTEL,"{'reviewerId': '3114416', 'reviewerName': 'istidewina s.', 'reviewerPhotoUrl': None, 'reviewerAppLink': 'traveloka://user_profile/3114416', 'reviewerWebLink': '/user/profile/public/istidewina-zv4gaq', 'reviewerStatus': 'ACTIVE', 'reviewerOrigin': None, 'reviewerBadgeUrl': None, 'reviewerToken': None}",1729388525720,8.5,10.0,"Linen bed di kamar bersih, kamar mandi bersih, Housekeeping kamar nya bagus. AC dingin & air hangat di kamar mandi menyala dengan baik. Ada fasilitas playground kalau bawa toddler. Sarapan standar & cukup. Kekurangan kamarnya ada jendela tapi ga ada view keluar. Jendela kamar menghadap dalam hotel. Sekeliling nya perumahan warga & ditutup dengan blok seng.","Linen bed di kamar bersih, kamar mandi bersih, Housekeeping kamar nya bagus. AC dingin & air hangat di kamar mandi menyala dengan baik. Ada fasilitas playground kalau bawa toddler. Sarapan standar & cukup. Kekurangan kamarnya ada jendela tapi ga ada view keluar. Jendela kamar menghadap dalam hotel. Sekeliling nya perumahan warga & ditutup dengan blok seng.",ORIGINAL,"[{'reviewMediaId': '3114416_REVIEW_1729388301329_c4d0631f63932c0c', 'reviewMediaUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/3114416_REVIEW_1729388301329_c4d0631f63932c0c?tr=q-40,c-at_max,w-720,h-1280&_src=imagekit', 'reviewMediaCategory': 'OTHER', 'reviewMediaType': 'PHOTO', 'reviewMediaCaption': '', 'reviewMediaThumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/3114416_REVIEW_1729388301329_c4d0631f63932c0c?tr=q-40,c-at_max,w-720,h-1280&_src=imagekit', 'reactionSummary': None, 'submissionTime': {'month': '10', 'day': '20', 'year': '2024'}}]","{'replierName': ""Accommodation's Reply"", 'reviewReplyText': 'Hai Kak Istidewina S, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplyOriginalText': 'Hai Kak Istidewina S, Terima kasih telah memilih Hayo Hotel Palembang selama berkunjung di kota Palembang. Senang mendengar Kakak menikmati fasilitas kami. Kami tunggu kedatangannya kembali di Hayo Hotel Palembang, Hotel dekat ptc dan Bandara Palembang. Hormat kami, Management', 'reviewReplySubmissionTime': {'month': '11', 'day': '15', 'year': '2024'}, 'reviewReplyTranslationStatus': 'ORIGINAL'}","{'topSection': {'additionalInformationLabel': 'Transit', 'additionalInformationIcon': 'https://ik.imagekit.io/tvlk/image/imageResource/2024/10/08/1728378081573-fb82360f6ef37bfb8cac8350209a05ec.png?tr=q-75'}, 'bottomSection': None}",[],"{'reactionCount': '2', 'hasReacted': False}",TRAVELOKA,,https://ik.imagekit.io/tvlk/image/imageResource/2024/05/15/1715766038135-fac45f7f34fa60416004be216ee5c386.png?tr=q-75
